ym,lawd_cd,sgg_nm,housing_type,deal_type,n_deals,n_cancelled,n_jeonse,n_wolse,n_new,n_renew,median_amount_manwon,median_price_per_pyeong,avg_area_m2,avg_build_year
2021-08,41271,안산시 상록구,연립다세대,전월세,428,0,224,204,257,24,4000.0,444.0,46.82,2008.0
2021-08,41273,안산시 단원구,아파트,매매,234,11,0,0,0,0,41250.0,2024.0,65.85,2001.0
2021-08,41273,안산시 단원구,아파트,전월세,714,0,461,253,367,124,16000.0,1010.0,57.84,2007.0
2021-08,41273,안산시 단원구,연립다세대,매매,126,3,0,0,0,0,18100.0,943.0,60.32,2007.0
2021-08,41273,안산시 단원구,연립다세대,전월세,202,0,109,93,118,6,5250.0,549.0,43.81,2003.0
2021-08,41281,고양시 덕양구,아파트,매매,431,10,0,0,0,0,51000.0,2427.0,73.21,2000.0
2021-08,41281,고양시 덕양구,아파트,전월세,1019,0,688,331,433,361,22000.0,1169.0,66.75,2003.0
2021-08,41281,고양시 덕양구,연립다세대,매매,170,5,0,0,0,0,13500.0,977.0,47.34,2001.0
2021-08,41281,고양시 덕양구,연립다세대,전월세,214,0,136,78,151,18,8500.0,690.0,46.03,2003.0
2021-08,41285,고양시 일산동구,아파트,매매,222,10,0,0,0,0,52950.0,2245.0,82.46,2000.0
2021-08,41285,고양시 일산동구,아파트,전월세,560,0,434,126,227,186,30000.0,1329.0,82.05,2001.0
2021-08,41285,고양시 일산동구,연립다세대,매매,106,3,0,0,0,0,24150.0,1385.0,60.47,2011.0
2021-08,41285,고양시 일산동구,연립다세대,전월세,128,0,98,30,69,16,20500.0,1066.0,68.97,2011.0
2021-08,41287,고양시 일산서구,아파트,매매,450,18,0,0,0,0,46600.0,2015.0,79.77,1999.0
2021-08,41287,고양시 일산서구,아파트,전월세,1030,0,791,239,451,346,25200.0,1104.0,79.74,1999.0
2021-08,41287,고양시 일산서구,연립다세대,매매,43,2,0,0,0,0,18700.0,1173.0,56.62,2005.0
2021-08,41287,고양시 일산서구,연립다세대,전월세,65,0,47,18,36,8,18500.0,927.0,61.48,2009.0
2021-08,41290,과천시,아파트,매매,19,3,0,0,0,0,168000.0,7780.0,79.74,2008.0
2021-08,41290,과천시,아파트,전월세,191,0,133,58,107,39,57750.0,2338.0,79.62,1999.0
2021-08,41290,과천시,연립다세대,매매,4,0,0,0,0,0,85500.0,4846.0,68.05,2004.0
2021-08,41290,과천시,연립다세대,전월세,48,0,31,17,30,12,39000.0,1827.0,69.21,2010.0
2021-08,41310,구리시,아파트,매매,151,3,0,0,0,0,71500.0,3210.0,76.92,2004.0
2021-08,41310,구리시,아파트,전월세,539,0,303,236,241,150,21000.0,1160.0,59.16,2007.0
2021-08,41310,구리시,연립다세대,매매,48,5,0,0,0,0,35000.0,2080.0,52.78,2002.0
2021-08,41310,구리시,연립다세대,전월세,75,0,51,24,45,13,13000.0,903.0,53.39,2001.0
2021-08,41360,남양주시,아파트,매매,873,32,0,0,0,0,48700.0,1987.0,81.17,2005.0
2021-08,41360,남양주시,아파트,전월세,2988,0,1340,1648,1137,490,9900.0,606.0,62.42,2013.0
2021-08,41360,남양주시,연립다세대,매매,386,14,0,0,0,0,12500.0,761.0,53.55,2000.0
2021-08,41360,남양주시,연립다세대,전월세,325,0,216,109,206,28,7000.0,510.0,50.99,2002.0
2021-08,41370,오산시,아파트,매매,278,17,0,0,0,0,34500.0,1495.0,71.57,2005.0
2021-08,41370,오산시,아파트,전월세,542,0,347,195,289,77,16800.0,781.0,68.09,2007.0
2021-08,41370,오산시,연립다세대,매매,60,1,0,0,0,0,7250.0,660.0,38.45,2003.0
2021-08,41370,오산시,연립다세대,전월세,113,0,44,69,63,4,2000.0,234.0,31.58,2013.0
2021-08,41390,시흥시,아파트,매매,483,25,0,0,0,0,36000.0,1767.0,65.48,2003.0
2021-08,41390,시흥시,아파트,전월세,1166,0,688,478,586,266,15000.0,807.0,62.62,2006.0
2021-08,41390,시흥시,연립다세대,매매,256,9,0,0,0,0,11500.0,811.0,48.08,2001.0
2021-08,41390,시흥시,연립다세대,전월세,253,0,169,84,146,12,7000.0,551.0,42.22,2004.0
2021-08,41410,군포시,아파트,매매,244,10,0,0,0,0,54500.0,2829.0,69.19,1999.0
2021-08,41410,군포시,아파트,전월세,656,0,501,155,264,246,20000.0,1244.0,60.29,1997.0
2021-08,41410,군포시,연립다세대,매매,100,3,0,0,0,0,23000.0,1601.0,51.39,2002.0
2021-08,41410,군포시,연립다세대,전월세,127,0,81,46,78,8,9000.0,771.0,40.16,2001.0
2021-08,41430,의왕시,아파트,매매,99,6,0,0,0,0,62700.0,2766.0,76.5,2001.0
2021-08,41430,의왕시,아파트,전월세,476,0,316,160,204,99,30000.0,1266.0,72.76,2006.0
2021-08,41430,의왕시,연립다세대,매매,55,25,0,0,0,0,16500.0,1818.0,41.15,2005.0
2021-08,41430,의왕시,연립다세대,전월세,83,0,69,14,33,12,17000.0,1114.0,48.2,2010.0
2021-08,41450,하남시,아파트,매매,279,11,0,0,0,0,93900.0,4049.0,78.9,2009.0
